Gene,UniProt,Sample type,Tissue,Species,Repository,Reference,Confidence Score,Description,Coverage Map File,Total Ion Intensity
Emilin2,Q8K482,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,28.1032,EMILIN-2,Normal lung_Q8K482.html,241046
Emilin2,Q8K482,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,28.1032,EMILIN-2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q8K482.html,307762
Emilin2,Q8K482,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,28.1032,EMILIN-2,Normal lung ECM (Quantitative detergent solubility profiling)_Q8K482.html,137767008
Col11a1,Q61245,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,27.9359,Collagen alpha-1(XI) chain,Normal lung_Q61245.html,38565.6
Col11a1,Q61245,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,27.9359,Collagen alpha-1(XI) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61245.html,610320
Col11a1,Q61245,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,27.9359,Collagen alpha-1(XI) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q61245.html,35848000
Tgfb1,P04202,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,27.8329,Transforming growth factor beta-1 proprotein,Normal lung_P04202.html,16963.6
Tgfb1,P04202,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,27.8329,Transforming growth factor beta-1 proprotein,Normal lung ECM (Quantitative detergent solubility profiling)_P04202.html,18195700
Gpc4,P51655,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,27.7661,Glypican-4,Normal lung_P51655.html,16937.4
Gpc4,P51655,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,27.7661,Glypican-4,Normal lung ECM (Quantitative detergent solubility profiling)_P51655.html,89747904
Npnt,Q91V88-2,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,27.657,Isoform 2 of Nephronectin,Normal lung_Q91V88-2.html,41896200
Podn,Q7TQ62,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,27.6114,Podocan,Normal lung ECM (Quantitative detergent solubility profiling)_Q7TQ62.html,45344900
Sema6a,O35464-3,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,26.2138,Isoform 3 of Semaphorin-6A,Bronchoalveolar lavage of fibrotic lung_O35464-3.html,127294000
Sema6a,O35464-3,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,26.2138,Isoform 3 of Semaphorin-6A,Bronchoalveolar lavage of normal lung_O35464-3.html,8483010
Sema6a,O35464-3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,26.2138,Isoform 3 of Semaphorin-6A,Normal lung_O35464-3.html,8345.6
Sema6a,O35464-3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,26.2138,Isoform 3 of Semaphorin-6A,Normal lung ECM (Quantitative detergent solubility profiling)_O35464-3.html,15502800
Tnfsf10,P50592,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,24.6404,Tumor necrosis factor ligand superfamily member 10,Normal lung ECM (Quantitative detergent solubility profiling)_P50592.html,21542800
Plod2,Q9R0B9,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,24.0575,Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2,Normal lung_Q9R0B9.html,30526.6
Plod2,Q9R0B9,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,24.0575,Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2,Normal lung ECM (Quantitative detergent solubility profiling)_Q9R0B9.html,24156900
Plxnd1,Q3UH93,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,23.9281,Plexin-D1,Normal lung ECM (Quantitative detergent solubility profiling)_Q3UH93.html,31625700
C1qtnf2,Q9D8U4,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,23.572,Complement C1q tumor necrosis factor-related protein 2,Normal lung_Q9D8U4.html,1070120
C1qtnf2,Q9D8U4,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,23.572,Complement C1q tumor necrosis factor-related protein 2,Normal lung_Q9D8U4.html,1070120
C1qtnf2,Q9D8U4,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,23.572,Complement C1q tumor necrosis factor-related protein 2,Normal lung ECM (Quantitative detergent solubility profiling)_Q9D8U4.html,13330100
Creld1,Q91XD7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,23.569,Cysteine-rich with EGF-like domain protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q91XD7.html,66450100
Scube1,Q6NZL8,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,23.5117,Signal peptide, CUB and EGF-like domain-containing protein 1,Normal lung_Q6NZL8.html,5911960
Scube1,Q6NZL8,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,23.5117,Signal peptide, CUB and EGF-like domain-containing protein 1,Normal lung_Q6NZL8.html,5911960
Scube1,Q6NZL8,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,23.5117,Signal peptide, CUB and EGF-like domain-containing protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q6NZL8.html,12578800
A2m,Q6GQT1,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,23.45,Alpha-2-macroglobulin-P,Bronchoalveolar lavage of fibrotic lung_Q6GQT1.html,59853500000
A2m,Q6GQT1,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,23.45,Alpha-2-macroglobulin-P,Normal lung_Q6GQT1.html,201904992
A2m,Q6GQT1,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,23.45,Alpha-2-macroglobulin-P,Normal lung_Q6GQT1.html,201904992
Mfap1b,C0HKD9,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,23.3285,Microfibrillar-associated protein 1B,Normal lung ECM (Quantitative detergent solubility profiling)_C0HKD9.html,23835600
Adam9,Q61072,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,22.8153,Disintegrin and metalloproteinase domain-containing protein 9,Normal lung_Q61072.html,24628.6
Adam9,Q61072,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,22.8153,Disintegrin and metalloproteinase domain-containing protein 9,Normal lung ECM (Quantitative detergent solubility profiling)_Q61072.html,38271500
Adamtsl4,Q80T21,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,22.806,ADAMTS-like protein 4,Bronchoalveolar lavage of fibrotic lung_Q80T21.html,4464180
Adamtsl4,Q80T21,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,22.806,ADAMTS-like protein 4,Bronchoalveolar lavage of normal lung_Q80T21.html,1838370
Adamtsl4,Q80T21,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,22.806,ADAMTS-like protein 4,Normal lung_Q80T21.html,62166.4
Ctse,P70269,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,22.5328,Cathepsin E,Bronchoalveolar lavage of fibrotic lung_P70269.html,124989000
Ctse,P70269,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,22.5328,Cathepsin E,Bronchoalveolar lavage of normal lung_P70269.html,2194190
Plxnc1,Q9QZC2,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,22.2639,Plexin-C1,Normal lung ECM (Quantitative detergent solubility profiling)_Q9QZC2.html,33565900
Loxl2,P58022,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,21.6042,Lysyl oxidase homolog 2,Normal lung_P58022.html,224664
Loxl2,P58022,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,21.6042,Lysyl oxidase homolog 2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P58022.html,501764
Loxl2,P58022,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,21.6042,Lysyl oxidase homolog 2,Normal lung ECM (Quantitative detergent solubility profiling)_P58022.html,1368430
Angptl2,Q9R045,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,20.8073,Angiopoietin-related protein 2,Normal lung ECM (Quantitative detergent solubility profiling)_Q9R045.html,8355440
Sema4a,Q62178,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,20.1798,Semaphorin-4A,Bronchoalveolar lavage of fibrotic lung_Q62178.html,152811008
Sema4a,Q62178,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,20.1798,Semaphorin-4A,Bronchoalveolar lavage of normal lung_Q62178.html,7643940
Lgals8,Q9JL15,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,19.8455,Galectin-8,Normal lung ECM (Quantitative detergent solubility profiling)_Q9JL15.html,88188800
Lgi3,Q8K406,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,19.539,Leucine-rich repeat LGI family member 3,Bronchoalveolar lavage of normal lung_Q8K406.html,3022680
Lgi3,Q8K406,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,19.539,Leucine-rich repeat LGI family member 3,Normal lung_Q8K406.html,30413.2
Lgi3,Q8K406,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,19.539,Leucine-rich repeat LGI family member 3,Normal lung ECM (Quantitative detergent solubility profiling)_Q8K406.html,2104540
Hmcn2,A2AJ76,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18.6877,Hemicentin-2,Bronchoalveolar lavage of fibrotic lung_A2AJ76.html,3111500
Hmcn2,A2AJ76,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,18.6877,Hemicentin-2,Normal lung_A2AJ76.html,49934.3
Hmcn2,A2AJ76,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,18.6877,Hemicentin-2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_A2AJ76.html,313007
Igfbp3,P47878,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18.6202,Insulin-like growth factor-binding protein 3,Bronchoalveolar lavage of fibrotic lung_P47878.html,18691000
Igfbp3,P47878,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18.6202,Insulin-like growth factor-binding protein 3,Bronchoalveolar lavage of normal lung_P47878.html,3026470
Ngly1,Q9JI78,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,18.6161,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,Normal lung ECM (Quantitative detergent solubility profiling)_Q9JI78.html,7825050
Adam22,Q9R1V6-11,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18.5749,Isoform 9 of Disintegrin and metalloproteinase domain-containing protein 22,Bronchoalveolar lavage of normal lung_Q9R1V6-11.html,8075570
Sema3f,O88632,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,18.3749,Semaphorin-3F,Normal lung_O88632.html,37682.2
Sema3f,O88632,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,18.3749,Semaphorin-3F,Normal lung ECM (Quantitative detergent solubility profiling)_O88632.html,15092600
Tnfsf12,O54907,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,18.2469,Tumor necrosis factor ligand superfamily member 12,Normal lung_O54907.html,3374.2
Tnfsf12,O54907,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,18.2469,Tumor necrosis factor ligand superfamily member 12,Normal lung ECM (Quantitative detergent solubility profiling)_O54907.html,3443370
Timp2,P25785,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18.1929,Metalloproteinase inhibitor 2,Bronchoalveolar lavage of fibrotic lung_P25785.html,58691900
Timp2,P25785,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,18.1929,Metalloproteinase inhibitor 2,Bronchoalveolar lavage of normal lung_P25785.html,1601280
Timp2,P25785,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,18.1929,Metalloproteinase inhibitor 2,Normal lung ECM (Quantitative detergent solubility profiling)_P25785.html,41059400
Col19a1,Q0VF58,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,17.6896,Collagen alpha-1(XIX) chain,Bronchoalveolar lavage of fibrotic lung_Q0VF58.html,5743820
Col19a1,Q0VF58,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,17.6896,Collagen alpha-1(XIX) chain,Bronchoalveolar lavage of normal lung_Q0VF58.html,4669480
Col19a1,Q0VF58,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,17.6896,Collagen alpha-1(XIX) chain,Normal lung_Q0VF58.html,44510
Col19a1,Q0VF58,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,17.6896,Collagen alpha-1(XIX) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q0VF58.html,1427190
Loxl3,Q9Z175,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,17.5238,Lysyl oxidase homolog 3,Normal lung_Q9Z175.html,223628
Adam18,Q9R157,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,17.2038,Disintegrin and metalloproteinase domain-containing protein 18,Normal lung ECM (Quantitative detergent solubility profiling)_Q9R157.html,4674710
Tnfaip6,O08859,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,16.5141,Tumor necrosis factor-inducible gene 6 protein,Bronchoalveolar lavage of fibrotic lung_O08859.html,106371000
Tnfaip6,O08859,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,16.5141,Tumor necrosis factor-inducible gene 6 protein,Bronchoalveolar lavage of normal lung_O08859.html,5351770
Tnfaip6,O08859,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,16.5141,Tumor necrosis factor-inducible gene 6 protein,Normal lung ECM (Quantitative detergent solubility profiling)_O08859.html,8946500
Cxcl12,P40224,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,16.2611,Stromal cell-derived factor 1,Normal lung_P40224.html,85125.4
Cxcl12,P40224,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,16.2611,Stromal cell-derived factor 1,Normal lung ECM (Quantitative detergent solubility profiling)_P40224.html,37172600
Clec11a,O88200,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,16.1343,C-type lectin domain family 11 member A,Bronchoalveolar lavage of fibrotic lung_O88200.html,47098400
Clec11a,O88200,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,16.1343,C-type lectin domain family 11 member A,Normal lung ECM (Quantitative detergent solubility profiling)_O88200.html,200195
Hapln1,Q9QUP5,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,15.9017,Hyaluronan and proteoglycan link protein 1,Normal lung_Q9QUP5.html,105197
Hapln1,Q9QUP5,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,15.9017,Hyaluronan and proteoglycan link protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q9QUP5.html,4426440
Adamts1,P97857,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,15.7758,A disintegrin and metalloproteinase with thrombospondin motifs 1,Bronchoalveolar lavage of fibrotic lung_P97857.html,3013610
Adamts1,P97857,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,15.7758,A disintegrin and metalloproteinase with thrombospondin motifs 1,Normal lung ECM (Quantitative detergent solubility profiling)_P97857.html,3669090
Comp,Q9R0G6,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,15.7411,Cartilage oligomeric matrix protein,Bronchoalveolar lavage of fibrotic lung_Q9R0G6.html,10691700
Comp,Q9R0G6,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,15.7411,Cartilage oligomeric matrix protein,Normal lung_Q9R0G6.html,8961300
Comp,Q9R0G6,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,15.7411,Cartilage oligomeric matrix protein,Normal lung_Q9R0G6.html,8961300
Col24a1,Q30D77,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,15.6516,Collagen alpha-1(XXIV) chain,Normal lung_Q30D77.html,22022.1
Col24a1,Q30D77,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,15.6516,Collagen alpha-1(XXIV) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q30D77.html,2954860
Col24a1,Q30D77,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,15.6516,Collagen alpha-1(XXIV) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q30D77.html,3811800
St14,P56677,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,15.3561,Suppressor of tumorigenicity 14 protein homolog,Normal lung_P56677.html,54017.9
St14,P56677,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,15.3561,Suppressor of tumorigenicity 14 protein homolog,Normal lung ECM (Quantitative detergent solubility profiling)_P56677.html,23059800
Thsd4,Q3UTY6,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,15.1658,Thrombospondin type-1 domain-containing protein 4,Normal lung_Q3UTY6.html,83965.3
Thsd4,Q3UTY6,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,15.1658,Thrombospondin type-1 domain-containing protein 4,Normal lung ECM (Quantitative detergent solubility profiling)_Q3UTY6.html,1586520
Itln1,O88310,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,14.6297,Intelectin-1a,Normal lung_O88310.html,100931
Clec1b,Q9JL99,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,14.5377,C-type lectin domain family 1 member B,Normal lung ECM (Quantitative detergent solubility profiling)_Q9JL99.html,15714300
Plxna2,P70207,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,14.4718,Plexin-A2,Normal lung ECM (Quantitative detergent solubility profiling)_P70207.html,18712100
Serpinb12,Q9D7P9,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,14.2109,Serpin B12,Bronchoalveolar lavage of fibrotic lung_Q9D7P9.html,23666700
Serpinb12,Q9D7P9,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,14.2109,Serpin B12,Normal lung_Q9D7P9.html,3178.6
Flg2,Q2VIS4,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,14.2052,Filaggrin-2,Normal lung_Q2VIS4.html,338613
Flg2,Q2VIS4,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,14.2052,Filaggrin-2,Normal lung ECM (Quantitative detergent solubility profiling)_Q2VIS4.html,150768
Bcan,Q61361,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,14.1551,Brevican core protein,Bronchoalveolar lavage of fibrotic lung_Q61361.html,3478540
Bcan,Q61361,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,14.1551,Brevican core protein,Bronchoalveolar lavage of normal lung_Q61361.html,1895880
Col11a2,Q64739-3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,13.7843,Isoform 2 of Collagen alpha-2(XI) chain,Normal lung_Q64739-3.html,977142
Col11a2,Q64739-3,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,13.7843,Isoform 2 of Collagen alpha-2(XI) chain,Normal lung_Q64739-3.html,977142
Clec2d,Q91V08,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,13.4525,C-type lectin domain family 2 member D,Normal lung ECM (Quantitative detergent solubility profiling)_Q91V08.html,30071000
C1qtnf7,Q8BVD7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,13.2122,Complement C1q tumor necrosis factor-related protein 7,Normal lung ECM (Quantitative detergent solubility profiling)_Q8BVD7.html,15243000
Bmp3,Q8BHE5,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,12.8116,Bone morphogenetic protein 3,Bronchoalveolar lavage of fibrotic lung_Q8BHE5.html,6857120
Bmp3,Q8BHE5,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,12.8116,Bone morphogenetic protein 3,Bronchoalveolar lavage of normal lung_Q8BHE5.html,2301880
Bmp3,Q8BHE5,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,12.8116,Bone morphogenetic protein 3,Normal lung_Q8BHE5.html,63601.2
Bmp3,Q8BHE5,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,12.8116,Bone morphogenetic protein 3,Normal lung ECM (Quantitative detergent solubility profiling)_Q8BHE5.html,10613500
Fam20b,Q8VCS3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,12.3311,Glycosaminoglycan xylosylkinase,Normal lung_Q8VCS3.html,7846.6
Fam20b,Q8VCS3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,12.3311,Glycosaminoglycan xylosylkinase,Normal lung ECM (Quantitative detergent solubility profiling)_Q8VCS3.html,3763400
Mug2,P28666,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,12.2238,Murinoglobulin-2,Normal lung_P28666.html,17741.4
Mug2,P28666,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,12.2238,Murinoglobulin-2,Normal lung ECM (Quantitative detergent solubility profiling)_P28666.html,5824110
Igsf10,Q3V1M1,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,12.1924,Immunoglobulin superfamily member 10,Normal lung ECM (Quantitative detergent solubility profiling)_Q3V1M1.html,14348800
Tgm1,Q9JLF6,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,12.0323,Protein-glutamine gamma-glutamyltransferase K,Normal lung_Q9JLF6.html,37589
Tgm1,Q9JLF6,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,12.0323,Protein-glutamine gamma-glutamyltransferase K,Normal lung ECM (Quantitative detergent solubility profiling)_Q9JLF6.html,10148500
Rptn,P97347,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,11.9505,Repetin,Normal lung_P97347.html,103450
Col23a1,Q8K4G2,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,11.7564,Collagen alpha-1(XXIII) chain,Normal lung_Q8K4G2.html,114654
Col23a1,Q8K4G2,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,11.7564,Collagen alpha-1(XXIII) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q8K4G2.html,3001730
Plxnb1,Q8CJH3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,11.5455,Plexin-B1,Normal lung ECM (Quantitative detergent solubility profiling)_Q8CJH3.html,11318700
Sfta2,E9PXB6,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10.6867,Surfactant-associated protein 2,Bronchoalveolar lavage of fibrotic lung_E9PXB6.html,14596200
Sfta2,E9PXB6,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10.6867,Surfactant-associated protein 2,Bronchoalveolar lavage of normal lung_E9PXB6.html,3179870
Sfta2,E9PXB6,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10.6867,Surfactant-associated protein 2,Normal lung ECM (Quantitative detergent solubility profiling)_E9PXB6.html,3590720
Masp1,P98064-2,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10.6306,Isoform 2 of Mannan-binding lectin serine protease 1,Bronchoalveolar lavage of fibrotic lung_P98064-2.html,1992630
Tnfsf13,Q9D777,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,10.2164,Tumor necrosis factor ligand superfamily member 13,Normal lung_Q9D777.html,4560100
Tnfsf13,Q9D777,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10.2164,Tumor necrosis factor ligand superfamily member 13,Normal lung ECM (Quantitative detergent solubility profiling)_Q9D777.html,3482030
Angpt2,O35608,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10.1798,Angiopoietin-2,Normal lung ECM (Quantitative detergent solubility profiling)_O35608.html,3691990
Fgl2,P12804,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,10.1426,Fibroleukin,Bronchoalveolar lavage of fibrotic lung_P12804.html,13186300
Fgl2,P12804,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,10.1426,Fibroleukin,Normal lung_P12804.html,1991140
Fgl2,P12804,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,10.1426,Fibroleukin,Normal lung ECM (Quantitative detergent solubility profiling)_P12804.html,3921740
